25
0,-77.002101,41.247047,0.0,Mulberry & Washington
1,-77.017186,41.241465,0.0,Campbell & LL
2,-77.014031,41.241884,0.0,Walnut & LL
3,-77.017078,41.239819,0.0,Campbell & 4th
4,-77.010212,41.240045,0.0,Susquehanna & 4th
5, -77.006800,41.242965,0.0,Hepburn & LL
6,-77.003109,41.243595,0.0,Market & LL
7,-77.001264,41.243933,0.0,Mulberry & LL
8,-77.006564,41.240142,0.0,Hepburn & 4th
9,-77.002015,41.242272,0.0,Market & 4th
10,-77.000492,41.243062,0.0,Mulberry & 4th
11,-76.999483,41.241900,0.0,Mulberry & 3rd
12,-77.001028,41.241126,0.0,Market & 3rd
13,-77.006435,41.238786,0.0,Hepburn & 3rd
14,-77.010040,41.238076,0.0,Center & 3rd
15,-77.016971,41.237834,0.0,Campbell & 3rd
16,-77.016885,41.236786,0.0,Campbell & 2nd
17,-77.019889,41.237705,0.0,Maynard & 2nd
18,-77.019782,41.236721,0.0,Maynard & 2nd
19,-77.019589,41.234672,0.0,PCT Maynard
20,-77.026477,41.239496,0.0,4th & Susquehanna
21,-77.026370,41.237495,0.0,3th & Susquehanna
22,-77.019997,41.239690,0.0,Maynard & 4th
23,-77.013860,41.239884,0.0,Walnut & 4th
24,-77.013688,41.237899,0.0,Walnut & 3rd
33
20 21 2
20 22 2
22 17 2
21 17 2
17 18 2
18 19 2
22 3 2
3 15 2
15 17 2
18 16 2
15 16 2
1 3 2
1 2 2
2 5 2
5 6 2
6 7 2
7 10 2
10 11 2
5 8 2
6 9 2
9 12 2
10 9 1
9 8 1
8 4 1
4 23 1
23 3 1
15 24 1
14 4 1
24 14 1
14 13 1
13 12 1
12 11 1
0 7 2
2
17 2
19 7
